Epoch,d_loss,g_loss
1,1.1745434366901324,1.6382498521286288
2,1.2551854256945632,1.1922846822850486
3,1.1729997252541056,1.4229328736567548
4,1.2763346010751562,1.1493094089442988
5,1.2748535594293304,1.1237082295834637
6,1.2262842361289046,1.2534287031779665
7,1.2861340257214076,1.085733819490811
8,1.2815490696094691,1.0839630641789832
9,1.2855350904023723,1.0790910282368853
10,1.2912100972905596,1.0762738471092193
11,1.2869844738799117,1.0759876468288365
12,1.2868089574391146,1.0627889812373912
13,1.2949056518611624,1.0502259939718348
14,1.284450179176417,1.0633102937547891
15,1.3089148883880584,1.0240746286632156
16,1.2948263305495542,1.0449443576432496
17,1.3033939069553988,1.0290934672233647
18,1.289841894179519,1.0549243215813058
19,1.2974173492714287,1.0340709712967944
20,1.294863080276228,1.025028215542531
21,1.2976131261284671,1.0313289269709638
22,1.3056041513329375,1.002507393166963
23,1.3198447030808118,0.9846634812065279
24,1.2982588956223877,1.016868274921039
25,1.3125282451351568,0.997727826460084
26,1.2998275867720912,1.0107052249313673
27,1.3014530183028565,1.009930716140438
28,1.3022047967862473,1.0084882010020682
29,1.311308686063488,0.9907338220808806
30,1.3171257035437423,0.9745548610239904
31,1.3023072760591883,0.9998513162771522
32,1.3072220048924754,0.9933570489954593
33,1.3217230314639077,0.9659275980646422
34,1.3190205245574653,0.9758524878828256
35,1.3158185041980195,0.9793206185801451
36,1.2974037069406337,1.0001802323723652
37,1.2966384931858668,1.005348912752005
38,1.3077921584121455,0.9905722383370024
39,1.2906027669305487,1.0186266334199194
40,1.316860305538564,0.9895421929959295
41,1.2873108863576388,1.0203145586097164
42,1.3113790584334941,0.9773321539354223
43,1.296958108406776,1.0122035044723992
44,1.3154662627178724,0.9700092536045798
45,1.3128908930747494,0.9730372222374751
46,1.3131059971191228,0.9746287630946397
47,1.3055359625072875,0.9791357392695412
48,1.3110389686596673,0.9870142045178647
49,1.3194806513183914,0.957004114191161
50,1.2908658967820057,1.005461795052994
51,1.3181423171560394,0.9665800693955249
52,1.3055651084637083,0.9791104054527242
53,1.308873641846785,0.9718189081911848
54,1.3101413983907273,0.9772212960318462
55,1.3024515724862054,0.9756514171420384
56,1.3009577798150749,1.0048712418277634
57,1.304886717690842,0.9782534584816076
58,1.3067609188176676,0.9938382585165597
59,1.3039113677450334,0.9777577733561429
60,1.3057411686698002,0.9793958116823168
61,1.2991577870746664,0.9893747108069055
62,1.2870266324103767,1.001683559753239
63,1.3045561613082124,1.0034651610769951
64,1.3010288800067231,0.9831401440761746
65,1.3132755750023735,0.9641113541782029
66,1.3013501344745093,0.9855063771133992
67,1.294470797946204,0.9908554556527371
68,1.3053594063530598,1.0021321696640333
69,1.3114050093617267,0.9668867867003118
70,1.2970915632779156,0.9863344394703155
71,1.3092328578805619,0.9814330436654691
72,1.3115105201948936,0.9604170321782769
73,1.3110311079635295,0.9693128837705421
74,1.3085709333673978,0.9671088396740366
75,1.293351675306302,0.9978373251489993
76,1.3049572249179455,0.9816021926240373
77,1.2901033252350558,1.0032133265599004
78,1.2974399536339714,1.001883457782172
79,1.2825092068994477,1.018724053716863
80,1.3005660629666436,0.9932298770845572
81,1.3070665477816739,0.9723814259459977
82,1.2955975502983594,0.9880520679167847
83,1.3113408088684082,0.9718017075488816
84,1.3001399706167454,0.9850784758133675
85,1.3109951636938653,0.9704155223583107
86,1.2971452907966907,0.9891781618854384
87,1.28277137500645,1.0206916975949618
88,1.3016474038235415,0.9869750007383351
89,1.284786214229903,1.0031401447014514
90,1.2845916756625368,1.0273643628493556
91,1.292035904361495,1.0052155467238761
92,1.283427581191063,1.0195625148602385
93,1.2941799015759914,1.002802261347964
94,1.2844989501845354,1.0065765041532293
95,1.3063938138899265,0.9868957968408874
96,1.2798353596123806,1.0205309532725735
97,1.2970271378056581,1.0080823850339409
98,1.2852363558148525,1.0119847101506902
99,1.2917167024571758,1.007068227539693
100,1.2884816574389493,1.0069508921108774
